trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,23
Fruit_weight,2.1,1.1
Fruit_number,12,5.6
Fruit_weight_single,190,45
Color_over,2.4,1.5
Russet_freq_all,97,5.6
Trunk_diameter,20,3
Trunk_increment,6.6,2
Flowering_intensity,59,27
Flowering_begin,110,2.6
Flowering_full,110,4.1
Flowering_end,110,2.2
Scab,5,1.6
Powdery_mildew,1.7,0.35
Scab_fruits,1.4,0.22
Weight_sample,2,0.97
Sample_size,11,5
