trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,24
Fruit_weight,6.2,5.7
Fruit_number,39,39
Fruit_weight_single,170,64
Color_over,2.1,1.6
Russet_freq_all,93,2.1
Trunk_diameter,37,12
Trunk_increment,2.6,3.4
Flowering_intensity,53,34
Flowering_begin,120,5.2
Flowering_full,96,4
Flowering_end,100,3.9
Scab,1.2,1.1
Powdery_mildew,1,0
Scab_fruits,0.45,0.47
Weight_sample,2.7,1.3
Sample_size,16,5.9
