trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,14
Fruit_weight,5.6,3.3
Fruit_number,32,20
Fruit_weight_single,180,30
Color_over,2.4,1.5
Russet_freq_all,60,34
Trunk_diameter,26,5.5
Trunk_increment,4.8,2.9
Flowering_intensity,46,41
Flowering_begin,110,3.6
Flowering_full,110,5.1
Flowering_end,110,3.4
Scab,3.9,2.1
Powdery_mildew,3.3,2
Scab_fruits,1.3,0.27
Weight_sample,3.2,0.72
Sample_size,18,3.2
