trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,10
Fruit_weight,4.8,2.2
Fruit_number,27,13
Fruit_weight_single,180,32
Color_over,3.1,1.2
Russet_freq_all,35,42
Trunk_diameter,20,5.6
Trunk_increment,3.7,3.2
Flowering_intensity,66,36
Flowering_begin,110,0
Flowering_full,100,6.5
Flowering_end,110,4.9
Scab,2.8,2.3
Powdery_mildew,4.1,1.9
Scab_fruits,1.2,0.57
Weight_sample,3.1,0.93
Sample_size,17,5.3
