trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,15
Fruit_weight,6.5,1.7
Fruit_number,41,11
Fruit_weight_single,160,22
Color_over,1.8,1.2
Russet_freq_all,65,31
Trunk_diameter,32,5.4
Trunk_increment,5.2,1.7
Flowering_intensity,62,18
Flowering_begin,100,5.1
Flowering_full,100,5.2
Flowering_end,110,5
Scab,2.9,2.1
Powdery_mildew,2.6,1.2
Scab_fruits,1.1,0.43
Weight_sample,3.2,0.43
Sample_size,20,0.19
