trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,18
Fruit_weight,8.6,5.1
Fruit_number,53,33
Fruit_weight_single,170,43
Color_over,1.8,1.3
Russet_freq_all,94,1.9
Trunk_diameter,38,9.9
Trunk_increment,3.7,2.6
Flowering_intensity,61,27
Flowering_begin,120,3.9
Flowering_full,95,2
Flowering_end,100,2.4
Scab,0.94,0.093
Powdery_mildew,1,0.052
Scab_fruits,0.37,0.37
Weight_sample,3.1,0.98
Sample_size,18,3.8
