trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,34
Fruit_weight,12,9.7
Fruit_number,65,55
Fruit_weight_single,190,65
Color_over,2.2,1.8
Russet_freq_all,76,20
Trunk_diameter,49,14
Trunk_increment,4.2,4.6
Flowering_intensity,73,27
Flowering_begin,110,7.4
Flowering_full,96,2.4
Flowering_end,100,2.5
Scab,1,0
Powdery_mildew,2,1.1
Scab_fruits,0.56,0.63
Weight_sample,3.5,1.4
Sample_size,18,4.8
