trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,15
Fruit_weight,4.1,2.4
Fruit_number,24,12
Fruit_weight_single,170,29
Color_over,2,1.4
Russet_freq_all,63,30
Trunk_diameter,40,9.6
Trunk_increment,3.1,1.7
Flowering_intensity,23,28
Flowering_begin,99,5.7
Flowering_full,100,6.7
Flowering_end,110,5.2
Scab,3.1,2.5
Powdery_mildew,3,1.9
Scab_fruits,1.1,0.44
Weight_sample,2.8,0.75
Sample_size,17,2.9
