trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,10
Fruit_weight,2.8,0.62
Fruit_number,15,2.9
Fruit_weight_single,190,17
Color_over,2.9,1.5
Russet_freq_all,56,32
Trunk_diameter,27,5.2
Trunk_increment,2.6,1.5
Flowering_intensity,9.3,4.2
Flowering_begin,110,3.4
Flowering_full,110,6.9
Flowering_end,110,5.6
Scab,4.3,2.7
Powdery_mildew,4.4,2.3
Scab_fruits,1.2,0.41
Weight_sample,2.7,0.55
Sample_size,14,2.6
