trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,24
Fruit_weight,1.9,1.6
Fruit_number,11,11
Fruit_weight_single,180,61
Color_over,2.8,1.7
Russet_freq_all,60,44
Trunk_diameter,17,4.9
Trunk_increment,6.9,3.3
Flowering_intensity,53,33
Flowering_begin,110,0
Flowering_full,98,5.8
Flowering_end,110,5.2
Scab,1.6,1.4
Powdery_mildew,3.2,2.1
Scab_fruits,0.89,0.67
Weight_sample,1.6,1.3
Sample_size,9.7,7.4
