trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,27
Fruit_weight,9.5,7.1
Fruit_number,76,45
Fruit_weight_single,130,56
Color_over,2.1,1.7
Russet_freq_all,31,36
Trunk_diameter,36,8.2
Trunk_increment,4.8,3.2
Flowering_intensity,80,24
Flowering_begin,100,3.4
Flowering_full,100,3.7
Flowering_end,110,4.2
Scab,2.5,1.8
Powdery_mildew,2.7,0.9
Scab_fruits,1.3,0.31
Weight_sample,2.5,1.1
Sample_size,20,0
