trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,
Fruit_weight,3.1,2.2e-07
Fruit_number,15,
Fruit_weight_single,210,8.3e-06
Color_over,4,3.6e-07
Russet_freq_all,32,
Trunk_diameter,25,
Trunk_increment,2.6,3.5e-07
Flowering_intensity,11,8.8e-07
Flowering_begin,100,9.4e-06
Flowering_full,110,
Flowering_end,110,
Scab,5,6.4e-07
Powdery_mildew,6.5,5.9e-07
Scab_fruits,1.5,
Weight_sample,2.9,
Sample_size,14,1.1e-06
