trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,9.2
Fruit_weight,4.9,2.3
Fruit_number,29,14
Fruit_weight_single,170,19
Color_over,1.8,1.1
Russet_freq_all,93,6
Trunk_diameter,47,7.9
Trunk_increment,6.2,6.7
Flowering_intensity,35,24
Flowering_begin,120,2.6
Flowering_full,97,1.8
Flowering_end,100,2.7
Scab,1,0
Powdery_mildew,1,0.31
Scab_fruits,0.77,0.4
Weight_sample,3.1,0.86
Sample_size,17,4.8
