trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,9.3
Fruit_weight,6.5,1.2
Fruit_number,41,8.5
Fruit_weight_single,160,9.3
Color_over,2.5,0.96
Russet_freq_all,47,18
Trunk_diameter,34,5.7
Trunk_increment,3.3,2
Flowering_intensity,52,29
Flowering_begin,99,4.5
Flowering_full,99,2.6
Flowering_end,110,3.4
Scab,1.1,0.78
Powdery_mildew,3.5,0.9
Scab_fruits,0.9,0.37
Weight_sample,3.2,0.19
Sample_size,20,0.16
