trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,9
Fruit_weight,3,0.44
Fruit_number,16,3
Fruit_weight_single,190,15
Color_over,3.2,1.4
Russet_freq_all,49,32
Trunk_diameter,24,4.7
Trunk_increment,2.9,2.1
Flowering_intensity,10,6.7
Flowering_begin,110,3
Flowering_full,110,6.7
Flowering_end,110,5.2
Scab,4.3,2.7
Powdery_mildew,5.2,2.3
Scab_fruits,1.2,0.4
Weight_sample,2.8,0.4
Sample_size,15,2.5
