trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,28
Fruit_weight,11,6.5
Fruit_number,57,30
Fruit_weight_single,190,61
Color_over,3,2
Russet_freq_all,78,30
Trunk_diameter,33,6.9
Trunk_increment,8.5,3.8
Flowering_intensity,84,18
Flowering_begin,110,4.3
Flowering_full,100,5.5
Flowering_end,110,5.9
Scab,2.2,1.8
Powdery_mildew,2.2,1.1
Scab_fruits,0.81,0.55
Weight_sample,3.9,1.2
Sample_size,20,0
