trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,20
Fruit_weight,8.2,4.4
Fruit_number,64,36
Fruit_weight_single,140,39
Color_over,2.4,1.4
Russet_freq_all,90,16
Trunk_diameter,33,7.8
Trunk_increment,5.6,2.9
Flowering_intensity,71,29
Flowering_begin,120,2.6
Flowering_full,94,2.1
Flowering_end,100,2.5
Scab,0.92,0.093
Powdery_mildew,1.6,0.81
Scab_fruits,0.33,0.38
Weight_sample,2.7,0.73
Sample_size,19,0.68
