trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,30
Fruit_weight,13,8.3
Fruit_number,74,45
Fruit_weight_single,180,60
Color_over,2.7,1.9
Russet_freq_all,63,38
Trunk_diameter,48,12
Trunk_increment,8.7,12
Flowering_intensity,82,23
Flowering_begin,100,6.6
Flowering_full,100,3.9
Flowering_end,110,4.6
Scab,1.7,1.3
Powdery_mildew,2.3,0.91
Scab_fruits,0.93,0.47
Weight_sample,3.5,1.2
Sample_size,20,0
