trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,240,22
Fruit_weight,7.1,3.7
Fruit_number,63,37
Fruit_weight_single,120,43
Color_over,2.5,1.4
Russet_freq_all,27,28
Trunk_diameter,38,9.3
Trunk_increment,5.8,3.6
Flowering_intensity,74,31
Flowering_begin,100,2.4
Flowering_full,100,3
Flowering_end,110,3.5
Scab,2.6,1.3
Powdery_mildew,3.1,1.3
Scab_fruits,1.3,0.22
Weight_sample,2.4,0.67
Sample_size,19,1.7
